date,pm25,pm10,o3,no2,so2,co
2021/11/1,44,21,17,9,2,3
2021/11/2,55,18,15,9,2,3
2021/11/3,55,19,21,6,2,4
2021/11/4,47,33,32,5,2,5
2021/11/5,79,15,22,5,3,4
2021/11/6,45,16,19,4,2,2
2021/11/7,39,36,18,4,5,2
2021/11/8,71,34,22,5,2,2
2021/11/9,80,36,29,7,3,3
2021/11/10,85,51,13,11,2,4
2021/11/11,109,50,27,8,3,4
2021/11/12,108,57,19,10,3,4
2021/11/13,127,82,16,13,3,7
2021/11/14,166,78,10,12,2,8
2021/11/15,169,49,20,7,2,6
2021/11/16,123,54,32,10,2,5
2021/11/17,126,42,13,7,2,5
2021/11/18,105,50,14,9,2,6
2021/11/19,124,53,10,10,2,6
2021/11/20,134,29,17,5,2,2
2021/11/21,69,19,21,5,2,2
2021/11/22,40,30,24,6,2,3
2021/11/23,62,40,24,8,3,3
2021/11/24,79,53,21,12,3,5
2021/11/25,117,52,16,9,2,4
2021/11/26,124,62,19,12,2,6
2021/11/27,152,45,11,10,2,6
2021/11/28,115,30,17,6,2,5
2021/11/29,84,19,11,4,3,3
2021/11/30,61,,,,,
2021/10/1,90,38,42,5,4,6
2021/10/2,88,38,53,5,4,5
2021/10/3,91,23,21,4,4,5
2021/10/4,58,9,22,5,,3
2021/10/5,21,12,18,7,4,2
2021/10/6,31,20,25,7,4,3
2021/10/7,49,21,14,12,4,4
2021/10/8,50,11,13,10,,4
2021/10/9,30,5,18,5,3,2
2021/10/10,13,13,25,5,3,1
2021/10/11,34,37,15,12,4,3
2021/10/12,87,31,15,10,4,4
2021/10/13,82,19,16,8,,3
2021/10/14,50,17,18,9,,1
2021/10/15,34,18,15,7,,1
2021/10/16,39,13,22,7,3,1
2021/10/17,35,16,15,9,3,2
2021/10/18,49,16,18,9,3,3
2021/10/19,48,6,17,7,,2
2021/10/20,28,6,12,6,3,2
2021/10/21,14,14,17,10,4,2
2021/10/22,37,20,24,7,4,2
2021/10/23,58,21,19,9,4,4
2021/10/24,63,32,45,9,7,3
2021/10/25,83,10,28,5,9,3
2021/10/26,34,13,19,8,5,2
2021/10/27,41,15,19,8,6,3
2021/10/28,46,16,25,7,5,4
2021/10/29,43,35,17,14,5,5
2021/10/30,80,14,16,6,6,3
2021/10/31,41,16,13,9,3,3
2021/9/1,40,19,34,1,3,3
2021/9/2,42,25,32,4,,5
2021/9/3,57,14,26,1,,3
2021/9/4,28,24,33,2,3,3
2021/9/5,48,8,25,2,3,3
2021/9/6,12,12,36,4,3,3
2021/9/7,27,22,34,5,3,4
2021/9/8,55,21,38,3,3,3
2021/9/9,49,31,46,6,3,3
2021/9/10,67,27,25,12,3,5
2021/9/11,67,24,27,3,3,4
2021/9/12,61,23,29,5,3,4
2021/9/13,56,19,28,5,3,4
2021/9/14,45,14,25,4,3,4
2021/9/15,35,9,21,3,3,3
2021/9/16,18,12,15,6,3,3
2021/9/17,24,11,17,5,,3
2021/9/18,21,10,39,4,3,3
2021/9/19,17,17,50,5,3,4
2021/9/20,43,26,53,5,4,4
2021/9/21,63,33,51,4,4,4
2021/9/22,82,25,28,4,3,5
2021/9/23,68,24,31,5,3,4
2021/9/24,60,26,36,5,4,4
2021/9/25,62,11,23,4,3,4
2021/9/26,26,11,22,4,3,4
2021/9/27,27,19,33,5,3,4
2021/9/28,44,23,43,5,4,4
2021/9/29,56,33,43,9,4,5
2021/9/30,73,41,42,7,4,6
2021/8/1,54,23,90,4,4,2
2021/8/2,59,31,95,4,4,3
2021/8/3,71,34,96,4,4,3
2021/8/4,84,17,42,3,3,3
2021/8/5,48,19,57,1,4,2
2021/8/6,51,20,29,3,3,3
2021/8/7,54,20,19,4,3,2
2021/8/8,55,20,47,3,4,2
2021/8/9,47,23,37,3,4,2
2021/8/10,52,16,24,2,4,2
2021/8/11,43,14,19,1,3,2
2021/8/12,36,8,30,2,3,4
2021/8/13,18,27,31,4,4,4
2021/8/14,70,26,40,4,4,4
2021/8/15,58,13,25,4,4,4
2021/8/16,31,17,18,4,4,4
2021/8/17,37,8,22,4,4,4
2021/8/18,17,17,33,2,4,3
2021/8/19,36,14,30,2,4,3
2021/8/20,34,22,41,2,4,3
2021/8/21,51,12,31,2,4,3
2021/8/22,29,12,38,3,4,2
2021/8/23,24,22,44,3,4,3
2021/8/24,52,18,32,3,4,
2021/8/25,46,9,27,2,4,3
2021/8/26,23,11,33,2,4,3
2021/8/27,26,12,28,5,4,3
2021/8/28,31,12,27,4,4,3
2021/8/29,23,21,27,3,4,4
2021/8/30,53,15,9,3,2,3
2021/8/31,39,19,26,3,3,3
2021/7/1,56,22,43,7,4,1
2021/7/2,53,13,43,4,3,1
2021/7/3,30,15,37,6,4,1
2021/7/4,43,28,44,8,3,1
2021/7/5,69,31,39,9,3,2
2021/7/6,77,37,47,8,2,3
2021/7/7,85,8,23,1,2,1
2021/7/8,22,11,10,2,2,
2021/7/9,22,14,25,3,2,2
2021/7/10,29,17,36,3,2,2
2021/7/11,36,15,41,2,2,2
2021/7/12,40,21,56,2,3,3
2021/7/13,63,23,42,4,,3
2021/7/14,60,11,34,3,,2
2021/7/15,24,10,29,2,3,1
2021/7/16,24,16,41,6,3,2
2021/7/17,40,14,34,3,4,1
2021/7/18,29,22,57,4,3,2
2021/7/19,48,25,49,3,3,2
2021/7/20,63,23,59,3,3,2
2021/7/21,62,23,52,3,3,3
2021/7/22,57,28,54,3,3,3
2021/7/23,74,10,40,2,3,2
2021/7/24,26,18,49,3,3,3
2021/7/25,49,31,39,4,3,3
2021/7/26,70,16,23,1,3,1
2021/7/27,38,16,45,2,3,1
2021/7/28,35,20,64,3,4,2
2021/7/29,49,17,33,3,3,2
2021/7/30,46,13,62,3,4,2
2021/7/31,34,19,79,3,4,1
2021/6/1,74,27,48,5,3,2
2021/6/2,67,17,30,4,2,3
2021/6/3,36,30,41,8,3,3
2021/6/4,62,33,51,8,2,3
2021/6/5,67,32,33,9,3,3
2021/6/6,75,26,12,8,2,3
2021/6/7,66,17,45,6,3,2
2021/6/8,47,29,35,7,2,3
2021/6/9,76,28,55,6,3,3
2021/6/10,71,36,45,10,3,4
2021/6/11,82,33,43,10,3,4
2021/6/12,81,48,48,13,3,5
2021/6/13,116,39,48,9,3,5
2021/6/14,99,18,36,4,3,4
2021/6/15,50,12,31,5,3,3
2021/6/16,28,8,18,5,,2
2021/6/17,13,22,15,7,3,3
2021/6/18,46,12,22,4,3,2
2021/6/19,24,18,59,7,4,3
2021/6/20,41,26,38,7,4,3
2021/6/21,63,19,47,7,4,4
2021/6/22,48,36,76,9,4,4
2021/6/23,81,48,47,11,3,5
2021/6/24,108,10,31,3,3,3
2021/6/25,31,21,34,6,3,4
2021/6/26,51,18,27,5,3,4
2021/6/27,46,27,60,6,3,3
2021/6/28,64,16,35,2,3,1
2021/6/29,40,19,22,6,3,1
2021/6/30,49,20,23,8,4,1
2021/5/1,83,44,76,5,5,2
2021/5/2,94,25,40,5,4,3
2021/5/3,66,27,29,4,4,2
2021/5/4,59,51,27,7,4,3
2021/5/5,89,46,36,7,4,2
2021/5/6,87,39,31,9,4,3
2021/5/7,83,38,52,11,4,4
2021/5/8,86,42,44,7,4,3
2021/5/9,89,35,47,6,3,3
2021/5/10,84,15,36,5,3,2
2021/5/11,39,16,35,4,2,2
2021/5/12,47,27,24,9,3,3
2021/5/13,64,38,33,8,3,3
2021/5/14,81,26,16,10,3,3
2021/5/15,66,10,35,8,3,2
2021/5/16,20,18,34,8,3,2
2021/5/17,43,27,35,7,3,3
2021/5/18,65,21,31,7,3,3
2021/5/19,52,19,28,7,3,2
2021/5/20,46,29,31,8,3,2
2021/5/21,66,27,28,10,3,3
2021/5/22,68,12,21,5,3,2
2021/5/23,32,17,44,5,4,2
2021/5/24,33,33,30,6,3,3
2021/5/25,70,19,41,2,3,2
2021/5/26,45,20,44,5,4,3
2021/5/27,46,41,65,6,5,3
2021/5/28,83,22,28,7,3,2
2021/5/29,60,25,34,9,4,3
2021/5/30,52,24,56,6,3,3
2021/5/31,61,31,31,5,2,2
2021/4/1,27,19,15,12,4,3
2021/4/2,48,18,36,8,4,2
2021/4/3,45,20,22,9,4,4
2021/4/4,56,19,30,8,2,5
2021/4/5,53,23,19,13,2,5
2021/4/6,62,18,32,9,3,4
2021/4/7,48,29,34,10,3,4
2021/4/8,72,17,25,11,3,5
2021/4/9,51,13,20,11,3,4
2021/4/10,46,10,22,11,2,4
2021/4/11,35,21,28,11,3,4
2021/4/12,50,27,33,10,3,4
2021/4/13,62,11,28,8,3,3
2021/4/14,28,15,15,11,3,3
2021/4/15,39,24,37,8,3,3
2021/4/16,47,34,23,10,3,3
2021/4/17,68,18,17,9,3,4
2021/4/18,47,19,19,11,3,4
2021/4/19,50,15,27,10,3,3
2021/4/20,39,25,40,9,3,2
2021/4/21,56,41,37,11,4,4
2021/4/22,90,31,30,8,3,4
2021/4/23,80,14,18,9,3,3
2021/4/24,35,12,28,7,3,3
2021/4/25,25,23,37,11,3,3
2021/4/26,52,29,43,6,3,2
2021/4/27,68,24,25,5,3,1
2021/4/28,50,29,38,8,4,2
2021/4/29,54,35,62,8,4,2
2021/4/30,73,38,66,6,5,2
2021/3/1,39,35,27,8,3,4
2021/3/2,72,53,32,10,3,4
2021/3/3,117,56,23,13,3,6
2021/3/4,133,32,34,10,3,5
2021/3/5,81,14,26,6,3,3
2021/3/6,36,14,7,9,3,3
2021/3/7,42,25,15,10,3,5
2021/3/8,68,29,9,13,3,6
2021/3/9,78,25,24,13,3,6
2021/3/10,69,42,29,13,3,6
2021/3/11,95,32,27,9,3,7
2021/3/12,85,30,43,8,4,8
2021/3/13,83,52,28,17,4,8
2021/3/14,123,21,50,8,5,5
2021/3/15,58,41,60,8,4,4
2021/3/16,97,53,40,13,4,5
2021/3/17,128,22,33,7,4,4
2021/3/18,63,10,18,9,,4
2021/3/19,29,67,14,10,4,2
2021/3/20,95,76,23,4,3,1
2021/3/21,95,65,31,7,3,1
2021/3/22,90,64,38,9,4,2
2021/3/23,99,63,27,22,4,3
2021/3/24,120,55,37,9,4,3
2021/3/25,114,35,22,8,4,3
2021/3/26,72,46,41,9,4,3
2021/3/27,71,72,59,10,5,2
2021/3/28,102,72,68,10,5,3
2021/3/29,118,71,49,7,5,3
2021/3/30,118,,,,,
2021/2/1,93,66,27,14,3,5
2021/2/2,149,75,31,11,2,6
2021/2/3,162,68,24,9,2,6
2021/2/4,160,40,37,7,2,5
2021/2/5,106,50,42,9,3,5
2021/2/6,121,48,41,7,2,4
2021/2/7,117,48,40,7,3,4
2021/2/8,111,61,32,8,3,5
2021/2/9,143,61,36,6,2,6
2021/2/10,152,57,31,7,3,6
2021/2/11,148,69,39,6,3,6
2021/2/12,165,56,20,5,2,6
2021/2/13,139,26,28,4,2,5
2021/2/14,79,28,20,3,2,3
2021/2/15,79,19,27,3,2,1
2021/2/16,53,20,28,4,2,2
2021/2/17,49,17,34,3,2,1
2021/2/18,49,19,35,4,2,3
2021/2/19,56,27,39,6,3,3
2021/2/20,75,40,43,8,3,4
2021/2/21,97,51,48,11,3,5
2021/2/22,126,52,57,7,4,5
2021/2/23,135,64,41,15,3,6
2021/2/24,155,25,26,8,3,5
2021/2/25,76,21,21,8,3,5
2021/2/26,61,16,20,9,3,5
2021/2/27,54,10,19,7,,5
2021/2/28,33,17,25,6,3,4
2021/1/4,177,63,9,17,2,8
2021/1/5,158,58,12,15,3,7
2021/1/6,152,45,23,9,2,5
2021/1/7,128,48,17,9,2,5
2021/1/8,130,55,20,10,2,6
2021/1/9,141,60,18,14,2,6
2021/1/10,155,33,29,5,2,4
2021/1/11,88,40,26,11,2,5
2021/1/12,102,64,26,22,4,7
2021/1/13,155,55,29,14,3,7
2021/1/14,133,67,37,17,2,7
2021/1/15,145,69,30,12,4,7
2021/1/16,140,34,25,9,2,5
2021/1/17,71,40,27,12,3,5
2021/1/18,95,68,15,23,3,6
2021/1/19,156,58,12,12,3,5
2021/1/20,148,53,29,17,4,6
2021/1/21,127,48,32,16,3,6
2021/1/22,115,73,15,20,3,7
2021/1/23,162,79,13,19,3,8
2021/1/24,172,35,21,13,3,7
2021/1/25,92,46,24,11,3,7
2021/1/26,106,73,22,18,3,8
2021/1/27,158,66,30,10,3,8
2021/1/28,153,66,11,19,3,9
2021/1/29,156,33,32,6,3,7
2021/1/30,88,,,,,
2020/10/1,41,11,22,3,,4
2020/10/2,33,7,16,3,,3
2020/10/3,13,11,21,3,3,2
2020/10/4,29,14,18,5,3,2
2020/10/5,34,9,18,4,3,2
2020/10/6,26,18,21,4,3,3
2020/10/7,50,12,16,4,3,3
2020/10/8,40,19,22,6,3,4
2020/10/9,50,11,15,7,3,4
2020/10/10,31,21,14,9,3,5
2020/10/11,62,20,14,7,5,4
2020/10/12,50,17,13,6,3,3
2020/10/13,43,7,17,5,3,3
2020/10/14,17,19,13,6,3,3
2020/10/15,41,10,20,5,3,2
2020/10/16,24,24,15,7,3,2
2020/10/17,56,20,24,7,3,2
2020/10/18,56,14,23,4,3,2
2020/10/19,40,12,21,2,3,2
2020/10/20,34,14,17,5,3,2
2020/10/21,34,36,26,7,4,3
2020/10/22,83,58,12,13,4,5
2020/10/23,140,45,26,9,3,4
2020/10/24,98,45,21,10,3,5
2020/10/25,96,35,14,7,3,4
2020/10/26,86,28,24,7,3,4
2020/10/27,75,9,21,6,3,3
2020/10/28,28,25,29,7,3,4
2020/10/29,65,40,24,9,4,6
2020/10/30,105,11,15,6,3,5
2020/10/31,32,18,13,6,4,4
2020/11/1,43,36,17,9,5,4
2020/11/2,73,46,19,10,5,5
2020/11/3,102,20,18,7,4,4
2020/11/4,66,18,15,8,,5
2020/11/5,63,11,26,6,4,4
2020/11/6,39,25,35,9,5,5
2020/11/7,74,38,30,10,5,6
2020/11/8,109,48,35,10,3,6
2020/11/9,136,57,27,15,3,6
2020/11/10,156,56,24,11,2,6
2020/11/11,153,42,18,9,2,6
2020/11/12,126,40,16,8,2,5
2020/11/13,124,43,29,9,3,5
2020/11/14,126,54,7,14,3,6
2020/11/15,142,56,4,16,3,7
2020/11/16,152,56,23,13,3,7
2020/11/17,154,43,31,11,3,6
2020/11/18,118,47,36,9,3,5
2020/11/19,101,57,27,11,4,5
2020/11/20,114,27,15,7,3,4
2020/11/21,64,22,14,6,2,3
2020/11/22,64,25,10,8,3,4
2020/11/23,76,44,10,10,3,4
2020/11/24,103,46,4,14,3,5
2020/11/25,102,20,16,7,3,5
2020/11/26,56,36,11,9,3,5
2020/11/27,81,17,15,7,3,5
2020/11/28,56,38,11,9,3,6
2020/11/29,99,44,11,9,3,6
2020/11/30,112,18,13,11,3,6
2020/12/1,58,12,11,9,3,5
2020/12/2,43,24,14,7,3,6
2020/12/3,76,26,12,9,3,7
2020/12/4,81,21,21,9,3,7
2020/12/5,66,26,5,13,3,8
2020/12/6,74,20,12,7,3,6
2020/12/7,64,39,9,10,3,7
2020/12/8,86,38,12,11,3,6
2020/12/9,97,18,14,7,3,5
2020/12/10,55,39,11,11,3,5
2020/12/11,93,44,10,11,4,6
2020/12/12,102,48,13,11,3,6
2020/12/13,125,26,19,8,3,4
2020/12/14,76,46,15,10,2,5
2020/12/15,120,36,13,11,,5
2020/12/16,95,30,14,8,2,5
2020/12/17,88,30,17,6,2,5
2020/12/18,86,40,20,8,2,5
2020/12/19,110,44,20,8,2,5
2020/12/20,115,54,18,11,2,6
2020/12/21,134,73,12,15,3,7
2020/12/22,166,58,25,13,2,6
2020/12/23,138,60,22,12,3,6
2020/12/24,139,82,14,17,3,8
2020/12/25,174,74,12,13,2,8
2020/12/26,167,75,16,12,2,8
2020/12/27,162,94,10,19,4,9
2020/12/28,190,35,18,12,2,5
2020/12/29,99,38,14,15,3,4
2020/12/30,95,45,17,11,2,4
2020/12/31,117,45,12,10,,3
2021/1/1,109,,,,,
2020/7/1,47,23,49,4,4,1
2020/7/2,49,32,77,4,4,1
2020/7/3,71,19,37,4,3,2
2020/7/4,48,21,37,3,3,1
2020/7/5,51,23,43,3,3,1
2020/7/6,56,24,26,4,4,1
2020/7/7,60,32,58,5,4,1
2020/7/8,70,26,26,2,,1
2020/7/9,64,26,40,3,4,2
2020/7/10,59,18,26,5,4,2
2020/7/11,48,10,28,4,4,2
2020/7/12,17,14,46,3,3,2
2020/7/13,32,28,31,7,2,3
2020/7/14,68,13,22,2,2,2
2020/7/15,31,8,22,2,2,2
2020/7/16,12,11,23,3,3,1
2020/7/17,22,19,31,3,3,1
2020/7/18,42,14,37,3,3,1
2020/7/19,30,12,23,3,3,1
2020/7/20,31,20,24,4,3,1
2020/7/21,49,14,31,4,3,1
2020/7/22,39,17,29,3,3,2
2020/7/23,46,25,44,3,3,3
2020/7/24,69,10,26,3,3,3
2020/7/25,25,17,36,3,3,1
2020/7/26,34,41,57,4,4,2
2020/7/27,75,39,41,3,3,1
2020/7/28,76,24,28,4,3,1
2020/7/29,60,13,29,3,3,1
2020/7/30,39,20,22,6,3,2
2020/7/31,47,20,28,4,3,2
2020/8/1,46,15,33,2,,2
2020/8/2,41,25,46,2,4,2
2020/8/3,63,19,44,2,4,2
2020/8/4,57,21,44,3,4,3
2020/8/5,66,28,47,4,4,3
2020/8/6,78,12,34,2,4,3
2020/8/7,31,14,31,2,4,3
2020/8/8,40,27,61,4,4,4
2020/8/9,69,33,63,3,4,4
2020/8/10,79,10,36,2,4,3
2020/8/11,23,11,20,2,4,3
2020/8/12,26,12,50,2,4,3
2020/8/13,25,26,38,4,5,3
2020/8/14,64,18,26,4,5,4
2020/8/15,58,6,19,2,4,3
2020/8/16,13,12,20,3,4,3
2020/8/17,34,9,25,1,,2
2020/8/18,18,16,28,1,2,2
2020/8/19,35,34,38,5,3,4
2020/8/20,79,33,28,3,2,3
2020/8/21,80,31,31,4,2,4
2020/8/22,75,34,34,5,2,4
2020/8/23,81,8,29,3,2,2
2020/8/24,18,11,49,3,4,3
2020/8/25,27,11,55,2,3,3
2020/8/26,34,27,65,3,3,4
2020/8/27,52,36,58,2,3,4
2020/8/28,86,30,41,3,2,5
2020/8/29,80,9,30,3,,4
2020/8/30,28,10,28,2,,2
2020/8/31,30,17,39,2,3,1
2020/9/1,39,18,30,3,3,1
2020/9/2,54,15,37,3,3,1
2020/9/3,40,26,38,5,3,2
2020/9/4,62,32,21,6,3,2
2020/9/5,76,15,19,2,3,1
2020/9/6,40,21,54,3,3,1
2020/9/7,48,25,26,4,3,1
2020/9/8,59,24,23,4,3,1
2020/9/9,59,14,17,3,3,1
2020/9/10,36,17,10,3,3,1
2020/9/11,43,13,24,3,3,1
2020/9/12,33,15,34,2,3,1
2020/9/13,41,14,29,2,3,2
2020/9/14,36,16,24,3,4,3
2020/9/15,48,11,19,3,3,2
2020/9/16,22,12,23,2,4,1
2020/9/17,31,18,24,4,4,1
2020/9/18,42,36,28,8,5,2
2020/9/19,72,28,20,7,4,2
2020/9/20,71,15,14,5,4,2
2020/9/21,40,13,27,5,4,2
2020/9/22,25,32,33,6,4,5
2020/9/23,67,32,18,11,4,3
2020/9/24,72,9,20,5,4,2
2020/9/25,26,15,14,6,4,2
2020/9/26,39,19,20,8,4,3
2020/9/27,50,12,24,6,3,3
2020/9/28,31,13,34,3,2,3
2020/9/29,34,27,29,4,3,3
2020/9/30,68,13,26,3,,3
2020/4/1,86,17,21,5,3,3
2020/4/2,49,8,18,5,,3
2020/4/3,26,6,26,3,,3
2020/4/4,20,22,31,7,4,2
2020/4/5,61,35,16,7,3,3
2020/4/6,93,31,32,6,4,3
2020/4/7,85,19,46,6,5,4
2020/4/8,55,37,53,8,7,3
2020/4/9,85,32,43,5,4,4
2020/4/10,79,35,39,6,4,3
2020/4/11,66,52,19,8,5,3
2020/4/12,77,39,24,7,4,3
2020/4/13,80,35,45,6,5,4
2020/4/14,82,48,55,8,4,4
2020/4/15,108,53,59,11,4,6
2020/4/16,122,46,38,8,5,4
2020/4/17,94,43,52,13,4,4
2020/4/18,81,32,24,11,5,5
2020/4/19,80,14,23,4,4,3
2020/4/20,35,16,24,3,4,1
2020/4/21,46,14,26,3,4,1
2020/4/22,40,11,29,3,4,1
2020/4/23,32,18,45,4,5,1
2020/4/24,41,29,48,6,5,1
2020/4/25,70,28,55,6,5,1
2020/4/26,67,27,47,7,5,1
2020/4/27,61,29,73,6,6,1
2020/4/28,65,33,64,4,5,1
2020/4/29,72,24,50,5,5,1
2020/4/30,57,32,70,6,6,1
2020/5/1,71,35,73,5,6,1
2020/5/2,77,44,99,5,7,2
2020/5/3,91,61,117,5,5,2
2020/5/4,132,61,74,5,3,3
2020/5/5,138,44,76,3,3,3
2020/5/6,102,36,28,5,2,3
2020/5/7,97,9,33,3,4,2
2020/5/8,25,23,23,6,3,2
2020/5/9,48,18,57,4,3,1
2020/5/10,46,34,31,4,2,2
2020/5/11,65,44,20,6,3,2
2020/5/12,80,52,58,5,3,3
2020/5/13,95,47,67,5,3,3
2020/5/14,99,54,67,6,3,3
2020/5/15,128,36,31,3,4,2
2020/5/16,93,18,64,4,3,2
2020/5/17,39,33,81,6,4,1
2020/5/18,66,44,105,6,5,1
2020/5/19,87,63,44,6,3,2
2020/5/20,137,25,31,3,3,2
2020/5/21,64,17,39,4,3,2
2020/5/22,39,32,79,7,4,2
2020/5/23,64,22,33,3,3,1
2020/5/24,54,13,23,2,3,1
2020/5/25,39,21,24,4,4,1
2020/5/26,57,15,33,3,4,1
2020/5/27,27,18,41,3,4,1
2020/5/28,41,25,67,4,4,1
2020/5/29,61,37,65,4,4,2
2020/5/30,82,34,71,3,3,2
2020/5/31,78,39,49,5,3,3
2020/6/1,98,7,35,2,3,1
2020/6/2,20,25,53,3,4,2
2020/6/3,55,36,73,4,5,3
2020/6/4,78,31,73,5,5,2
2020/6/5,69,31,45,4,5,2
2020/6/6,72,30,66,4,4,2
2020/6/7,75,26,32,3,2,2
2020/6/8,68,26,54,2,2,1
2020/6/9,64,36,70,4,3,2
2020/6/10,78,42,66,4,4,2
2020/6/11,104,24,19,4,2,2
2020/6/12,67,13,19,2,2,1
2020/6/13,36,28,26,3,2,2
2020/6/14,68,30,54,5,3,1
2020/6/15,69,37,60,5,3,2
2020/6/16,80,6,21,3,2,1
2020/6/17,11,11,40,4,2,1
2020/6/18,27,28,69,5,4,1
2020/6/19,64,42,58,5,3,2
2020/6/20,91,19,26,5,,3
2020/6/21,53,10,26,3,,1
2020/6/22,32,17,24,3,3,1
2020/6/23,42,17,56,3,3,1
2020/6/24,42,29,68,4,4,2
2020/6/25,73,19,45,4,3,2
2020/6/26,53,15,41,2,3,1
2020/6/27,45,11,33,3,,1
2020/6/28,31,21,53,3,3,2
2020/6/29,50,20,35,3,3,1
2020/6/30,51,21,24,5,4,1
2020/1/1,168,59,11,15,3,9
2020/1/2,152,55,20,10,,8
2020/1/3,144,46,12,11,3,8
2020/1/4,117,61,11,13,2,8
2020/1/5,154,32,16,7,2,8
2020/1/6,92,36,8,10,2,8
2020/1/7,98,59,14,14,3,9
2020/1/8,146,71,12,13,3,9
2020/1/9,162,36,16,5,2,9
2020/1/10,93,31,32,7,3,9
2020/1/11,82,55,36,13,3,10
2020/1/12,132,61,23,10,3,8
2020/1/13,143,41,18,10,3,6
2020/1/14,102,48,9,13,2,8
2020/1/15,122,24,18,6,2,6
2020/1/16,70,42,11,10,2,7
2020/1/17,108,40,19,8,2,7
2020/1/18,103,26,25,5,3,6
2020/1/19,76,42,28,4,2,5
2020/1/20,111,57,31,5,2,7
2020/1/21,150,72,24,6,3,8
2020/1/22,163,40,21,3,2,6
2020/1/23,110,30,21,1,2,6
2020/1/24,92,37,32,2,2,6
2020/1/25,104,43,23,3,2,7
