date,pm25,pm10,o3,no2,so2,co
2016/8/19,85,40,18,10,9,5
2016/8/20,91,39,15,8,5,5
2016/8/21,112,37,13,9,7,5
2016/8/22,95,44,13,10,4,6
2016/8/23,100,51,11,9,6,6
2016/8/24,106,50,12,8,6,6
2016/8/25,100,25,17,6,5,4
2016/8/26,34,,17,9,5,4
2016/8/27,55,,19,7,5,4
2016/8/28,74,15,11,6,9,4
2016/8/29,52,12,10,7,13,4
2016/8/30,46,23,10,9,13,4
2016/8/31,55,39,12,10,10,5
2016/9/1,82,47,13,7,12,5
2016/9/2,93,24,9,6,13,3
2016/9/3,54,14,9,7,12,3
2016/9/4,50,8,12,8,13,3
2016/9/5,42,17,12,9,13,3
2016/9/6,59,27,12,8,14,4
2016/9/7,63,12,9,9,13,3
2016/9/8,39,20,9,11,12,3
2016/9/9,59,23,8,9,13,3
2016/9/10,68,25,9,9,15,3
2016/9/11,69,44,12,9,13,4
2016/9/12,88,18,8,9,13,3
2016/9/13,57,27,37,8,10,4
2016/9/14,76,14,34,8,9,4
2016/9/15,64,34,27,9,12,5
2016/9/16,92,26,44,7,8,5
2016/9/17,79,12,41,7,6,5
2016/9/18,51,6,39,6,6,3
2016/9/19,36,14,30,8,5,4
2016/9/20,61,16,27,6,8,5
2016/9/21,65,23,22,10,11,6
2016/9/22,67,16,23,13,9,5
2016/9/23,65,22,25,11,8,4
2016/9/24,70,33,28,13,5,5
2016/9/25,85,,24,12,7,7
2016/9/26,98,,21,10,8,4
2016/9/27,56,,25,10,8,4
2016/9/28,52,34,26,11,6,6
2016/9/29,82,20,37,10,7,6
2016/9/30,69,31,36,9,6,5
2016/4/1,147,88,41,11,1,5
2016/4/2,162,68,57,6,2,4
2016/4/3,148,89,49,12,1,6
2016/4/4,162,48,37,6,2,5
2016/4/5,107,5,34,5,2,3
2016/4/6,55,17,30,5,1,3
2016/4/7,68,22,37,5,1,2
2016/4/8,91,11,37,4,2,2
2016/4/9,55,26,38,5,1,3
2016/4/10,80,58,32,5,1,3
2016/4/11,131,37,34,6,1,3
2016/4/12,100,49,34,6,1,4
2016/4/13,110,13,39,6,1,2
2016/4/14,73,20,31,5,2,2
2016/4/15,72,11,35,6,1,2
2016/4/16,54,23,37,7,2,1
2016/4/17,67,41,35,5,6,2
2016/4/18,84,47,35,5,4,2
2016/4/19,104,21,41,5,3,2
2016/4/20,71,44,30,9,7,3
2016/4/21,98,27,34,5,4,2
2016/4/22,82,23,33,4,3,1
2016/4/23,94,14,34,6,4,1
2016/4/24,58,41,31,9,4,3
2016/4/25,106,50,35,8,4,3
2016/4/26,121,23,26,6,3,2
2016/4/27,72,13,35,5,3,1
2016/4/28,64,13,31,4,3,1
2016/4/29,63,19,39,6,4,2
2016/4/30,72,40,51,6,5,3
2016/5/1,108,54,55,5,5,4
2016/5/2,135,79,51,7,6,5
2016/5/3,146,69,56,6,5,4
2016/5/4,145,63,52,6,4,5
2016/5/5,151,34,47,5,3,5
2016/5/6,93,18,32,5,3,4
2016/5/7,67,27,31,5,3,4
2016/5/8,70,20,40,6,4,4
2016/5/9,71,45,51,8,6,5
2016/5/10,118,60,64,7,6,6
2016/5/11,142,85,52,8,4,7
2016/5/12,167,76,6,8,2,4
2016/5/13,123,35,9,8,3,4
2016/5/14,67,22,6,8,3,2
2016/5/15,54,66,6,7,3,4
2016/5/16,112,54,6,7,3,4
2016/5/17,108,60,6,7,2,4
2016/5/18,127,62,6,7,3,5
2016/5/19,149,60,6,7,2,5
2016/5/20,143,37,6,8,3,5
2016/5/21,99,5,6,7,3,5
2016/5/22,69,3,6,8,3,3
2016/5/23,36,16,6,7,2,4
2016/5/24,63,31,6,7,3,5
2016/5/25,103,4,6,8,3,3
2016/5/26,42,27,6,8,3,3
2016/5/27,70,32,6,7,3,4
2016/5/28,85,46,2,7,3,4
2016/5/29,118,64,,,,6
2016/5/30,139,54,54,7,7,5
2016/5/31,107,32,56,8,9,5
2016/6/1,85,18,41,7,12,5
2016/6/2,41,16,62,7,10,5
2016/6/3,48,47,62,10,11,7
2016/6/4,101,45,57,8,11,7
2016/6/5,78,40,56,8,13,6
2016/6/6,97,13,55,8,11,6
2016/6/7,54,23,38,8,12,5
2016/6/8,74,7,34,8,12,4
2016/6/9,37,13,33,7,12,5
2016/6/10,51,17,45,8,12,4
2016/6/11,56,28,45,8,11,5
2016/6/12,73,43,44,9,10,6
2016/6/13,104,45,19,9,10,7
2016/6/14,123,19,19,9,12,4
2016/6/15,50,25,49,9,9,4
2016/6/16,57,45,57,8,8,5
2016/6/17,85,56,33,7,10,6
2016/6/18,111,28,30,6,11,6
2016/6/19,80,33,23,5,11,6
2016/6/20,91,22,17,3,13,6
2016/6/21,67,28,10,3,13,6
2016/6/22,77,36,11,4,13,7
2016/6/23,99,15,11,3,13,5
2016/6/24,48,21,11,4,12,5
2016/6/25,38,34,12,5,13,6
2016/6/26,81,48,9,3,13,7
2016/6/27,95,43,10,3,14,7
2016/6/28,88,47,12,4,14,6
2016/6/29,111,33,12,5,13,6
2016/6/30,57,21,13,4,13,5
2016/1/4,131,100,22,15,2,23
2016/1/5,159,118,22,14,2,24
2016/1/6,161,57,30,8,2,19
2016/1/7,120,76,20,13,3,21
2016/1/8,137,59,22,11,2,22
2016/1/9,116,53,19,11,2,24
2016/1/10,112,30,24,7,2,21
2016/1/11,88,26,27,5,3,21
2016/1/12,77,40,24,8,2,22
2016/1/13,100,54,26,9,2,22
2016/1/14,114,49,36,7,2,19
2016/1/15,108,92,34,8,5,22
2016/1/16,157,,,,,
2016/1/18,143,62,26,9,5,85
2016/1/19,121,42,73,7,3,7
2016/1/20,96,44,60,8,3,5
2016/1/21,94,71,7,8,3,7
2016/1/22,132,34,7,8,3,2
2016/1/23,75,35,7,8,3,2
2016/1/24,77,68,6,8,3,3
2016/1/25,95,62,6,8,3,4
2016/1/26,118,67,6,8,3,5
2016/1/27,138,85,6,8,3,6
2016/1/28,160,101,6,8,3,8
2016/1/29,170,112,6,8,3,8
2016/1/30,174,53,6,8,3,6
2016/1/31,124,53,6,8,3,8
2016/2/1,126,87,6,8,3,10
2016/2/2,165,108,6,8,3,12
2016/2/3,171,46,6,8,3,11
2016/2/4,114,61,6,8,3,11
2016/2/5,140,42,6,8,3,8
2016/2/6,106,41,24,8,3,7
2016/2/7,105,78,11,8,3,8
2016/2/8,159,68,42,8,3,8
2016/2/9,153,76,48,8,3,10
2016/2/10,159,76,42,7,3,9
2016/2/11,160,79,46,7,3,9
2016/2/12,161,41,8,8,3,6
2016/2/13,78,58,7,8,3,5
2016/2/14,94,56,6,8,3,4
2016/2/15,113,60,6,8,3,
2016/2/16,127,64,6,8,3,
2016/2/17,145,75,6,8,3,2
2016/2/18,156,84,14,8,3,2
2016/2/19,151,100,6,8,3,1
2016/2/20,141,94,6,8,3,1
2016/2/21,137,24,6,8,3,1
2016/2/22,59,18,6,8,3,
2016/2/23,68,14,6,8,3,
2016/2/24,63,34,6,8,3,1
2016/2/25,93,35,15,8,3,
2016/2/26,97,56,26,8,3,1
2016/2/27,119,77,52,7,3,2
2016/2/28,156,78,67,7,3,1
2016/2/29,158,82,88,6,2,1
2016/3/1,161,74,84,7,2,1
2016/3/2,156,70,79,7,4,2
2016/3/3,147,83,91,9,3,3
2016/3/4,155,99,73,7,4,3
2016/3/5,160,124,59,15,4,4
2016/3/6,162,97,43,17,2,4
2016/3/7,153,50,71,8,3,2
2016/3/8,100,16,7,8,3,2
2016/3/9,60,32,6,8,3,3
2016/3/10,82,65,6,8,3,2
2016/3/11,140,84,6,8,3,4
2016/3/12,154,40,6,8,3,2
2016/3/13,83,67,6,8,3,1
2016/3/14,98,84,6,8,3,3
2016/3/15,140,77,11,8,3,4
2016/3/16,145,65,6,8,3,3
2016/3/17,139,36,54,7,3,3
2016/3/18,97,64,63,8,3,4
2016/3/19,137,89,66,13,3,6
2016/3/20,160,41,72,8,3,5
2016/3/21,99,5,12,8,3,4
2016/3/22,46,3,7,8,3,3
2016/3/23,33,12,40,7,3,4
2016/3/24,62,33,62,7,3,4
2016/3/25,97,48,7,8,3,3
2016/3/26,108,37,6,8,3,1
2016/3/27,81,48,15,8,3,3
2016/3/28,107,49,7,8,3,2
2016/3/29,115,20,61,7,2,1
2016/3/30,71,59,49,9,3,3
2016/3/31,126,78,40,8,3,4
2015/10/1,67,63,44,12,3,3
2015/10/2,135,43,28,8,4,2
2015/10/3,100,43,32,6,3,3
2015/10/4,104,72,13,13,4,4
2015/10/5,151,72,24,9,4,4
2015/10/6,151,39,29,7,3,3
2015/10/7,106,38,23,8,3,2
2015/10/8,102,12,27,6,3,1
2015/10/9,63,16,30,9,3,2
2015/10/10,66,32,38,8,4,2
2015/10/11,96,42,46,7,3,3
2015/10/12,113,66,49,10,3,4
2015/10/13,148,65,57,8,3,4
2015/10/14,143,96,56,8,3,6
2015/10/15,169,109,40,12,3,7
2015/10/16,176,77,28,9,2,6
2015/10/17,132,23,41,7,3,3
2015/10/18,79,36,39,8,3,4
2015/10/19,101,64,42,12,3,6
2015/10/20,145,93,41,15,2,8
2015/10/21,167,46,38,7,3,5
2015/10/22,113,28,28,7,3,4
2015/10/23,86,35,29,7,3,5
2015/10/24,94,36,30,7,3,6
2015/10/25,93,16,25,7,3,6
2015/10/26,64,9,25,7,3,3
2015/10/27,45,38,41,10,3,4
2015/10/28,98,60,32,12,3,5
2015/10/29,132,42,23,10,3,4
2015/10/30,107,6,26,7,3,3
2015/10/31,57,4,30,7,3,4
2015/11/1,57,,23,11,2,6
2015/11/2,114,64,18,10,3,6
2015/11/3,131,54,22,14,11,16
2015/11/4,117,47,34,10,4,6
2015/11/5,115,55,46,8,5,6
2015/11/6,112,62,35,17,6,8
2015/11/7,104,12,73,9,5,7
2015/11/8,51,45,45,13,5,8
2015/11/9,91,37,43,8,4,7
2015/11/10,79,31,22,14,3,8
2015/11/11,67,5,18,9,3,8
2015/11/12,42,37,18,13,3,9
2015/11/13,74,42,15,19,3,10
2015/11/14,77,5,24,10,3,9
2015/11/15,46,33,27,14,4,8
2015/11/16,74,28,31,9,3,7
2015/11/17,62,24,29,11,4,7
2015/11/18,69,40,21,18,4,10
2015/11/19,85,55,25,21,5,8
2015/11/20,80,49,32,13,4,2
2015/11/21,80,32,39,8,3,
2015/11/22,64,30,27,11,3,1
2015/11/23,60,4,20,9,3,2
2015/11/24,35,11,31,10,3,1
2015/11/25,55,53,30,17,4,
2015/11/26,94,104,21,24,6,2
2015/11/27,121,,22,17,3,
2015/11/28,73,84,27,15,4,1
2015/11/29,68,59,23,16,5,
2015/11/30,99,37,11,23,3,1
2015/12/1,74,25,8,14,4,3
2015/12/2,70,62,28,15,5,12
2015/12/3,99,16,22,9,1,3
2015/12/4,58,31,19,8,2,3
2015/12/5,70,49,17,8,2,4
2015/12/6,84,70,11,16,3,7
2015/12/7,100,76,13,12,2,6
2015/12/8,111,82,14,16,2,9
2015/12/9,120,79,16,11,1,6
2015/12/10,113,63,17,11,3,6
2015/12/11,120,29,16,11,2,4
2015/12/12,64,11,16,6,3,5
2015/12/13,53,24,21,9,2,3
2015/12/14,72,21,21,10,2,
2015/12/15,65,24,26,11,2,1
2015/12/16,64,58,12,15,3,2
2015/12/17,106,60,24,9,2,1
2015/12/18,115,55,17,12,3,2
2015/12/19,114,66,17,15,2,3
2015/12/20,126,71,18,13,3,4
2015/12/21,139,55,25,9,2,4
2015/12/22,120,93,24,22,2,9
2015/12/23,157,49,30,8,2,3
2015/12/24,105,58,32,10,2,
2015/12/25,114,64,34,11,3,9
2015/12/26,131,89,37,16,3,8
2015/12/27,157,120,22,21,3,11
2015/12/28,173,142,29,18,2,13
2015/12/29,186,109,35,14,2,13
2015/12/30,169,163,16,22,3,19
2015/12/31,190,,,,,
2016/1/3,166,64,28,9,3,22
2015/7/1,48,24,15,7,2,4
2015/7/2,52,10,12,6,2,3
2015/7/3,41,10,22,8,5,3
2015/7/4,39,17,27,9,6,4
2015/7/5,57,33,26,8,4,5
2015/7/6,68,39,37,8,4,6
2015/7/7,87,37,40,8,3,6
2015/7/8,86,16,25,7,3,5
2015/7/9,56,16,32,10,4,5
2015/7/10,53,30,36,9,4,5
2015/7/11,76,44,29,8,4,5
2015/7/12,89,26,25,5,3,2
2015/7/13,71,19,22,6,3,1
2015/7/14,52,16,6,5,2,
2015/7/15,48,35,44,8,8,3
2015/7/16,98,29,52,7,5,2
2015/7/17,82,29,52,6,4,4
2015/7/18,71,35,49,6,3,4
2015/7/19,80,40,21,6,3,4
2015/7/20,93,15,9,5,4,5
2015/7/21,53,25,7,13,4,5
2015/7/22,61,15,15,6,4,4
2015/7/23,53,14,19,6,4,3
2015/7/24,48,22,15,6,3,4
2015/7/25,57,41,11,7,3,5
2015/7/26,74,44,7,6,3,5
2015/7/27,82,32,11,7,3,4
2015/7/28,77,36,41,5,6,5
2015/7/29,77,38,34,6,6,5
2015/7/30,87,19,35,6,7,4
2015/7/31,66,37,38,6,7,5
2015/8/1,86,37,34,6,7,4
2015/8/2,83,35,28,7,6,5
2015/8/3,81,7,29,7,5,5
2015/8/4,48,8,42,6,5,4
2015/8/5,50,26,79,12,5,4
2015/8/6,68,21,25,26,7,4
2015/8/7,61,14,28,6,8,5
2015/8/8,47,9,38,6,22,4
2015/8/9,40,8,28,6,3,3
2015/8/10,44,25,38,8,4,3
2015/8/11,65,46,23,13,3,4
2015/8/12,90,46,30,7,1,8
2015/8/13,82,29,26,5,1,6
2015/8/14,58,14,28,6,2,4
2015/8/15,40,20,21,8,8,5
2015/8/16,48,5,37,5,4,4
2015/8/17,30,8,52,8,3,3
2015/8/18,30,10,53,8,2,3
2015/8/19,35,25,41,8,4,3
2015/8/20,47,31,41,8,4,4
2015/8/21,56,32,43,7,3,4
2015/8/22,63,49,53,7,1,5
2015/8/23,77,44,49,6,,6
2015/8/24,83,21,46,10,1,4
2015/8/25,53,37,44,11,2,5
2015/8/26,68,18,48,15,10,5
2015/8/27,53,19,41,8,2,5
2015/8/28,50,27,36,8,2,5
2015/8/29,61,26,40,6,1,5
2015/8/30,60,26,28,4,2,4
2015/8/31,60,26,25,6,2,4
2015/9/1,55,17,30,6,2,4
2015/9/2,48,17,43,6,2,5
2015/9/3,46,36,37,8,1,6
2015/9/4,69,12,29,8,2,5
2015/9/5,39,9,31,4,1,3
2015/9/6,34,22,36,6,1,4
2015/9/7,54,21,32,10,1,5
2015/9/8,59,11,34,9,1,6
2015/9/9,82,12,34,8,2,6
2015/9/10,64,5,28,7,1,4
2015/9/11,46,11,33,11,18,12
2015/9/12,71,17,34,7,4,4
2015/9/13,67,44,44,5,5,2
2015/9/14,144,70,36,7,4,3
2015/9/15,152,45,31,7,4,3
2015/9/16,123,13,30,10,3,3
2015/9/17,70,7,31,9,4,2
2015/9/18,62,9,29,8,3,2
2015/9/19,67,18,40,5,3,2
2015/9/20,81,26,34,7,3,3
2015/9/21,84,19,24,8,3,4
2015/9/22,77,19,31,8,3,3
2015/9/23,71,10,28,7,4,2
2015/9/24,56,12,22,8,4,1
2015/9/25,58,35,27,12,4,3
2015/9/26,90,25,27,8,4,3
2015/9/27,85,19,26,9,3,4
2015/9/28,68,37,31,10,3,5
2015/9/29,97,37,35,8,3,6
2015/9/30,100,21,27,8,3,4
2015/4/1,145,50,13,8,5,27
2015/4/2,103,43,11,14,13,3
2015/4/3,73,53,30,14,9,24
2015/4/4,82,35,11,6,6,2
2015/4/5,64,29,13,8,6,2
2015/4/6,55,17,12,5,6,2
2015/4/7,51,32,12,6,6,4
2015/4/8,75,34,13,5,6,5
2015/4/9,76,27,9,7,6,3
2015/4/10,56,40,10,8,6,3
2015/4/11,73,54,14,8,6,4
2015/4/12,90,66,15,10,6,4
2015/4/13,99,73,15,12,7,5
2015/4/14,112,64,16,7,6,5
2015/4/15,117,70,21,7,7,5
2015/4/16,123,80,23,8,6,6
2015/4/17,142,79,10,17,5,6
2015/4/18,127,26,13,5,5,3
2015/4/19,80,28,11,5,6,3
2015/4/20,86,35,14,6,6,3
2015/4/21,64,18,10,6,6,3
2015/4/22,114,24,9,7,6,4
2015/4/23,48,41,19,7,7,5
2015/4/24,74,74,21,9,7,7
2015/4/25,137,79,26,10,7,7
2015/4/26,148,73,27,8,6,7
2015/4/27,137,58,25,7,7,6
2015/4/28,99,62,22,7,6,6
2015/4/29,103,62,23,6,7,6
2015/4/30,109,42,18,4,6,4
2015/5/1,71,54,18,4,8,3
2015/5/3,52,22,15,4,6,2
2015/5/4,50,44,19,6,6,3
2015/5/5,90,61,21,4,7,5
2015/5/6,139,62,21,4,8,5
2015/5/7,140,39,19,5,6,4
2015/5/8,71,50,22,6,8,4
2015/5/9,97,62,24,6,9,5
2015/5/10,126,78,16,4,8,3
2015/5/11,149,90,20,4,8,4
2015/5/12,148,84,23,6,10,5
2015/5/13,140,83,29,7,11,6
2015/5/14,157,46,27,6,9,5
2015/5/15,103,51,21,9,9,5
2015/5/16,128,16,20,5,8,4
2015/5/17,86,31,20,5,8,4
2015/5/18,83,41,69,5,9,5
2015/5/19,96,42,69,2,10,5
2015/5/20,109,23,86,2,10,4
2015/5/21,61,8,21,1,6,3
2015/5/22,209,,20,2,7,3
2015/5/23,168,,23,3,6,5
2015/5/24,104,39,14,2,4,4
2015/5/25,99,32,25,3,5,5
2015/5/26,109,36,23,4,5,6
2015/5/27,83,39,11,5,4,6
2015/5/28,89,11,13,2,4,4
2015/5/29,130,15,33,4,4,4
2015/5/30,123,25,43,13,5,5
2015/5/31,60,27,13,10,9,5
2015/6/1,57,17,22,10,8,5
2015/6/2,49,17,41,4,4,5
2015/6/3,45,21,41,8,7,6
2015/6/4,58,16,41,5,4,4
2015/6/5,50,37,39,5,4,5
2015/6/6,91,50,50,3,4,6
2015/6/7,116,,,,,
2015/6/10,117,47,45,1,2,8
2015/6/11,92,49,46,3,2,8
2015/6/12,82,27,59,1,2,7
2015/6/13,62,41,73,1,2,6
2015/6/14,86,57,53,3,2,7
2015/6/15,127,54,53,2,2,7
2015/6/16,113,25,53,1,2,6
2015/6/17,63,17,60,1,2,4
2015/6/18,56,25,56,2,3,5
2015/6/19,79,16,65,2,3,5
2015/6/20,70,13,67,2,3,5
2015/6/21,48,25,50,1,4,6
2015/6/22,86,22,65,1,4,6
2015/6/23,75,12,46,2,4,6
2015/6/24,40,12,19,1,2,5
2015/6/25,41,13,27,5,3,5
2015/6/26,47,34,31,7,3,7
2015/6/27,82,30,24,6,3,6
2015/6/28,71,24,12,10,2,6
2015/6/29,59,20,10,6,2,4
2015/6/30,48,20,12,6,2,4
2015/1/1,170,86,8,13,9,12
2015/1/2,162,76,9,7,8,11
2015/1/3,150,105,10,10,9,13
2015/1/4,174,62,9,6,6,11
2015/1/5,129,53,8,7,7,8
2015/1/6,105,62,9,7,7,6
2015/1/7,115,58,15,6,6,6
2015/1/8,125,49,9,5,7,5
2015/1/9,100,82,11,8,8,9
2015/1/10,154,90,10,7,8,9
2015/1/11,164,74,9,6,6,8
2015/1/12,154,78,9,6,8,9
2015/1/13,160,84,11,11,8,9
2015/1/14,161,83,12,8,7,10
2015/1/15,160,60,9,5,8,7
2015/1/16,121,76,9,6,10,8
2015/1/17,148,72,14,7,6,8
2015/1/18,146,59,7,6,6,7
2015/1/19,116,74,11,6,7,9
2015/1/20,151,63,10,5,7,7
2015/1/21,130,99,13,13,13,10
2015/1/22,164,133,9,11,8,11
2015/1/23,174,143,8,10,5,12
2015/1/24,182,109,9,7,8,10
2015/1/25,164,116,8,11,7,12
2015/1/26,166,101,14,8,6,11
2015/1/27,156,32,10,3,5,11
2015/1/28,70,41,9,4,5,12
2015/1/29,76,76,6,7,6,11
2015/1/30,126,69,8,4,6,9
2015/1/31,126,64,7,5,6,9
2015/2/1,122,79,7,6,6,11
2015/2/2,140,69,7,6,6,12
2015/2/3,128,50,10,2,6,9
2015/2/4,92,73,10,2,6,8
2015/2/5,128,,10,5,6,9
2015/2/6,134,62,15,4,6,10
2015/2/7,126,63,9,3,6,8
2015/2/8,122,106,8,8,7,11
2015/2/9,168,115,8,5,6,10
2015/2/10,174,79,11,4,5,9
2015/2/11,146,84,12,3,6,9
2015/2/12,152,82,12,2,5,9
2015/2/13,151,92,7,4,4,11
2015/2/14,160,83,7,1,5,9
2015/2/15,155,76,11,2,5,8
2015/2/16,133,70,13,2,4,8
2015/2/17,121,93,11,2,4,10
2015/2/18,155,88,11,2,5,9
2015/2/19,156,44,11,2,4,10
2015/2/20,85,47,9,2,4,10
2015/2/21,91,51,9,1,5,8
2015/2/22,91,37,10,2,5,8
2015/2/23,74,27,11,2,5,7
2015/2/24,67,32,7,2,4,7
2015/2/25,68,47,8,2,4,7
2015/2/26,84,57,5,4,4,9
2015/2/27,113,25,7,2,5,9
2015/2/28,54,50,9,1,5,7
2015/3/1,83,70,7,3,5,8
2015/3/2,128,73,9,2,5,7
2015/3/3,116,97,7,4,5,7
2015/3/4,138,43,9,2,4,7
2015/3/5,82,49,8,2,5,7
2015/3/6,90,96,6,4,5,9
2015/3/7,155,62,11,3,5,8
2015/3/8,114,54,11,5,4,8
2015/3/9,98,64,11,3,4,9
2015/3/10,128,58,10,2,4,8
2015/3/11,113,46,11,2,4,8
2015/3/12,96,76,13,3,7,25
2015/3/13,130,76,14,6,5,27
2015/3/14,141,93,12,9,6,31
2015/3/15,160,83,11,8,6,29
2015/3/16,153,54,14,6,6,28
2015/3/17,98,44,9,6,5,28
2015/3/18,82,41,10,7,6,28
2015/3/19,77,34,9,9,6,26
2015/3/20,66,47,14,9,7,26
2015/3/21,87,72,11,12,6,27
2015/3/22,124,51,9,8,5,26
2015/3/23,97,21,11,6,6,25
2015/3/24,79,48,12,9,7,26
2015/3/25,86,51,12,3,6,26
2015/3/26,91,53,10,5,5,27
2015/3/27,102,50,12,5,5,27
2015/3/28,95,39,13,4,6,27
2015/3/29,77,81,15,12,8,30
2015/3/30,138,81,13,8,5,29
2015/3/31,146,71,14,8,6,29
2014/12/9,168,40,14,11,9,4
2014/12/10,108,55,13,10,9,3
2014/12/11,108,75,15,11,10,3
2014/12/12,153,94,14,14,12,4
2014/12/13,170,111,13,18,13,6
2014/12/14,186,69,31,14,11,6
2014/12/15,156,52,15,8,9,3
2014/12/16,94,53,13,13,12,3
2014/12/17,98,73,12,19,11,5
2014/12/18,143,76,14,17,11,6
2014/12/19,158,107,13,21,13,10
2014/12/20,181,67,15,16,12,6
2014/12/21,149,78,11,24,15,8
2014/12/22,160,51,13,19,12,7
2014/12/23,108,60,9,25,11,8
2014/12/24,127,63,15,19,13,7
2014/12/25,142,60,18,14,10,9
2014/12/26,114,53,11,4,6,8
2014/12/27,93,29,10,6,7,5
2014/12/28,46,,,,,
2021/3/31,,9,26,7,,3
2021/1/31,,40,38,8,3,5
2021/1/3,,88,9,25,4,8
2020/3/31,,39,24,10,3,3
2019/12/31,,77,10,13,3,8
2018/12/31,,66,16,5,5,7
2018/1/1,,142,21,20,16,9
2017/11/15,,44,25,9,4,16
2017/11/16,,27,31,9,4,3
2017/12/30,,132,9,,13,7
2017/9/10,,39,51,8,6,3
2017/5/12,,117,17,30,6,5
2017/5/13,,53,43,8,7,4
2017/1/1,,69,32,13,5,7
2016/10/5,,30,26,10,5,4
2016/7/14,,22,79,8,9,9
2016/1/17,,77,6,9,3,120
2016/1/2,,104,23,19,3,25
2015/5/2,,57,14,6,7,3
2015/6/9,,62,37,5,3,10
2014/12/31,,101,8,12,6,12
2014/12/8,,84,12,17,9,6
2018/1/21,,,,14,,